Year,REGIONCODE,ZONECODE,RK_NAME,WHEATAREA,WHEATOUTPUT,WHEATDAMAGE_WEATHER_AREA_P,WHEATDAMAGE_PESTS_AREA_P,WHEATDAMAGE_DROUGHT_AREA_P,WHEATOPH_W,WHEATDAMAGEAREA
2015,1,104,betimera,1.89780698902905,29.46834994852543,.085729584,.0087426174,0,15.52758,.1792899993015453
2011,1,104,Semiret,6.616580985486507,99.24876928329468,.072710283,0,0,15.000009,1.362478209659457
2012,1,104,Semiret,2.071557976305485,55.53319990634918,0,.020409999,0,26.807457,.0422804988920689
2013,1,104,Semiret,5.433571956120431,126.9986506104469,.066069923,.0038871299,0,23.372959,.4472840009257197
2014,1,104,Semiret,5.295075030997396,96.5481398999691,0,.040433683,0,18.233574,.2140993773937225
2015,1,104,Semiret,5.666432064026594,23.12040005251765,.26737356,0,.24105686,4.0802393,1.515054072253406
2011,1,104,Mayilihal,2.285811987239867,21.94379010051489,.03837597,0,0,9.5999975,.0877202488481998
2012,1,104,Mayilihal,3.573855005204678,74.71112035214901,.1831468,0,.00090700376,20.904911,.6814641319215298
2013,1,104,Mayilihal,3.787342995870858,84.51594042032957,.052115042,.026577471,0,22.315365,.2980355396866798
2014,1,104,Mayilihal,4.96646293066442,91.05674086511135,.027487453,0,0,18.334324,.3050065240822732
2015,1,104,Mayilihal,5.086128016002476,96.26909996569157,.54119152,.017805392,.521456,18.927778,2.843129737302661
