"ZONENAME","ZONECODE","WOREDANAME","WOREDACODE","Year","REGIONCODE","RK_NAME","WHEATAREA","WHEATOUTPUT","WHEATDAMAGEAREA_P","WHEATDAMAGE_DROUGHT_AREA_P","WHEATOPH_W"
"Siliti",720,"Silite",72002,"01-01-2013",7,"Sada gora",0.317306002601981,6.14201986789703,0.0861238017678261,0,19.3567714691162
"Siliti",720,"Silite",72002,"01-01-2014",7,"Sada gora",0.101960003376007,3.02568006515503,0,0,29.6751670837402
"Siliti",720,"Silite",72002,"01-01-2015",7,"Sada gora",0.225661002099514,11.2338998317719,0.349517643451691,0.349517643451691,49.7821960449219
"Siliti",720,"Silite",72002,"01-01-2010",7,"Kertefa",0.506158001720905,8.3011000752449,0.195665970444679,0,16.4002151489258
"Siliti",720,"Silite",72002,"01-01-2011",7,"Kertefa",1.49529500678182,28.5601301193237,0,0,19.0999965667725
"Siliti",720,"Silite",72002,"01-01-2012",7,"Kertefa",0.64504399895668,14.2554901242256,0,0,22.1000270843506
"Siliti",720,"Silite",72002,"01-01-2013",7,"Kertefa",1.49711499921978,34.0023602843285,0.193393498659134,0.0333334431052208,22.7119235992432
"Siliti",720,"Silite",72002,"01-01-2014",7,"Kertefa",0.777197996154428,22.0503599196672,0,0,28.3716125488281
"Siliti",720,"Silite",72002,"01-01-2015",7,"Kertefa",1.58411398530006,46.2530591487885,0.49163156747818,0.49163156747818,29.1980628967285
"Siliti",720,"Silite",72002,"01-01-2010",7,"Aredol anshebele",6.93830397166312,113.094399631023,0.170720592141151,0,16.3000068664551
"Siliti",720,"Silite",72002,"01-01-2011",7,"Aredol anshebele",6.08407708257437,96.7368204593658,0.124035686254501,0,15.8999996185303
"Siliti",720,"Silite",72002,"01-01-2012",7,"Aredol anshebele",5.51403700071387,50.1777201071382,0.13277779519558,0,9.09999656677246
"Siliti",720,"Silite",72002,"01-01-2013",7,"Aredol anshebele",4.69027900882065,174.717569887638,0.0619718655943871,0.0238920114934444,37.2509956359863
"Siliti",720,"Silite",72002,"01-01-2014",7,"Aredol anshebele",4.90197101607919,160.126189827919,0.0148789333179593,0,32.6656761169434
"Siliti",720,"Silite",72002,"01-01-2015",7,"Aredol anshebele",6.5942969918251,357.786437034607,0.123781822621822,0.123781822621822,51.116340637207
"Siliti",720,"Silite",72002,"01-01-2010",7,"Shalewasho",1.11060099862516,30.9859001040459,0.153835490345955,0,27.9001197814941
"Siliti",720,"Silite",72002,"01-01-2011",7,"Shalewasho",0.110909998416901,3.41602993011475,0,0,30.8000183105469
"Siliti",720,"Silite",72002,"01-01-2012",7,"Shalewasho",0.333203002810478,7.59703016281128,0,0,22.8000049591064
"Siliti",720,"Silite",72002,"01-01-2014",7,"Shalewasho",0.165956001728773,3.63950002193451,0.0291523057967424,0,21.9305114746094
"Siliti",720,"Alicho Woriro",72001,"01-01-2010",7,"Adeyo",0.659143996890634,7.31670009344816,0.951699793338776,0,11.1003065109253
"Siliti",720,"Alicho Woriro",72001,"01-01-2011",7,"Adeyo",0.0152160003781319,0.088249996304512,0.899999976158142,0,5.79981565475464
"Siliti",720,"Alicho Woriro",72001,"01-01-2012",7,"Adeyo",0.037126999348402,0.178210005164146,0.600000023841858,0.600000023841858,4.8000111579895
"Siliti",720,"Alicho Woriro",72001,"01-01-2010",7,"Weshano",0.216602996923029,0.996299989521503,0.354612320661545,0.0569439940154552,4.59965944290161
"Siliti",720,"Alicho Woriro",72001,"01-01-2011",7,"Weshano",0.291890002321452,5.63347014784813,0.00800644140690565,0,19.299976348877
"Siliti",720,"Alicho Woriro",72001,"01-01-2012",7,"Weshano",0.102007001638412,2.79498998820782,0,0,27.3999824523926
"Siliti",720,"Alicho Woriro",72001,"01-01-2013",7,"Weshano",0.319909998681396,7.21072988212109,0.00139539246447384,0,22.5398712158203
"Siliti",720,"Alicho Woriro",72001,"01-01-2014",7,"Weshano",0.256385006941855,3.63702012598515,0,0,14.1857757568359
"Siliti",720,"Alicho Woriro",72001,"01-01-2015",7,"Weshano",0.144396001007408,5.63759995996952,0.55213338136673,0.55213338136673,39.0426330566406
"Siliti",720,"Alicho Woriro",72001,"01-01-2010",7,"Ketucha",1.57236499898136,18.0822000801563,0.229572176933289,0.0521326474845409,11.5000019073486
"Siliti",720,"Alicho Woriro",72001,"01-01-2011",7,"Ketucha",0.649444993585348,14.222850382328,0,0,21.9000072479248
"Siliti",720,"Alicho Woriro",72001,"01-01-2012",7,"Ketucha",0.858005998656154,27.7135902345181,0.106949135661125,0,32.2999954223633
"Siliti",720,"Alicho Woriro",72001,"01-01-2013",7,"Ketucha",1.10479999799281,35.9273602962494,0,0,32.5193328857422
"Siliti",720,"Alicho Woriro",72001,"01-01-2014",7,"Ketucha",1.41832400020212,16.2047998569906,0.0328835658729076,0.00332452240400016,11.4253158569336
"Siliti",720,"Alicho Woriro",72001,"01-01-2015",7,"Ketucha",0.192704997956753,3.49237990379333,0.323772102594376,0.323772102594376,18.1229343414307
